App,Package,Start Time,Duration,Filename
"Warble",edu.utexas.mpc.warble3,"Sep 26, 2018 @ 01:12:59 PM","9 min 8 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"Battery Status",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",
0,998400,6,22,7,998400,10,13,11,998400,13,8,13,114,14,998400,16,5,16,671342,16,1,17,310000,18,14,
104,1209600,107,80,108,1209600,110,60,110,1209600,112,25,112,114,113,1209600,115,9,115,1385682,115,1,115,310000,117,14,
202,1209600,204,72,204,1209600,205,11,206,1209600,207,25,208,114,208,998400,211,0,211,1072798,119,1,212,310000,214,14,
305,1152000,307,71,307,1152000,310,58,310,998400,313,46,314,114,314,998400,328,20,328,1356531,212,1,329,310000,330,14,
406,1152000,408,75,409,1152000,410,53,411,1152000,413,70,414,114,414,1152000,421,11,421,1476688,329,1,422,310000,429,14,
506,1152000,508,72,509,1152000,510,40,511,1152000,513,40,513,114,513,1152000,515,11,516,1275106,422,1,516,310000,517,14,
607,998400,609,11,609,998400,610,0,611,998400,616,27,617,114,626,800000,630,0,631,693472,516,1,632,310000,634,14,
710,1209600,712,70,713,1209600,717,12,718,1209600,719,27,719,114,720,1209600,721,44,721,1286128,631,1,722,310000,722,14,
810,998400,812,40,813,998400,814,10,815,998400,817,22,817,114,818,998400,819,0,819,812173,721,1,820,310000,821,14,
911,1152000,912,40,913,1152000,914,22,915,1152000,916,11,917,114,917,1152000,919,10,919,924530,819,1,920,310000,921,14,
1012,800000,1014,30,1015,800000,1018,18,1019,800000,1021,9,1021,114,1022,800000,1024,0,1024,702166,920,1,1025,310000,1025,20,
1113,800000,1115,27,1116,800000,1119,25,1119,800000,1121,10,1122,114,1122,800000,1124,0,1124,854111,1024,1,1125,310000,1126,20,
1213,800000,1215,27,1216,800000,1220,0,1221,800000,1222,11,1223,114,1224,800000,1225,0,1226,794591,1124,1,1226,310000,1227,20,
1313,800000,1316,45,1318,800000,1320,9,1321,800000,1323,18,1324,114,1325,800000,1326,0,1327,878911,1226,1,1328,310000,1329,20,
1414,800000,1415,30,1416,800000,1418,10,1419,800000,1422,16,1423,114,1424,800000,1426,0,1426,839231,1327,1,1427,310000,1429,20,
1514,800000,1516,30,1516,800000,1519,10,1520,800000,1525,18,1526,114,1526,800000,1529,0,1530,844190,1427,1,1530,310000,1531,20,
1616,800000,1620,44,1630,800000,1635,10,1637,800000,1642,35,1643,114,1644,800000,1649,25,1650,983071,1530,1,1650,200000,1652,20,
1716,1209600,1722,60,1723,1209600,1724,90,1724,1209600,1726,16,1726,114,1727,1209600,1730,25,1730,1374201,1650,1,1731,200000,1732,20,
1817,1209600,1818,55,1819,1209600,1820,30,1821,1209600,1822,40,1823,114,1823,1209600,1824,20,1824,1156131,1730,1,1825,200000,1825,20,
1917,1209600,1918,66,1919,1209600,1920,22,1921,1209600,1922,0,1922,114,1923,1209600,1924,27,1925,1013911,1825,1,1926,200000,1928,20,
2018,800000,2020,25,2020,800000,2022,18,2022,800000,2023,10,2024,114,2024,800000,2026,0,2026,600175,1925,1,2028,200000,2030,21,
2118,998400,2120,16,2120,998400,2122,20,2122,998400,2123,0,2124,114,2124,998400,2125,0,2125,606095,2027,1,2126,200000,2126,21,
2220,800000,2223,30,2223,800000,2225,0,2226,800000,2229,30,2230,114,2231,998400,2232,0,2233,629211,2125,1,2233,200000,2234,21,
2321,800000,2322,30,2323,800000,2325,25,2326,800000,2330,11,2331,114,2332,800000,2334,9,2335,666411,2233,1,2336,200000,2337,21,
2421,998400,2422,37,2422,998400,2424,0,2424,998400,2426,10,2426,114,2427,998400,2430,0,2430,644498,2335,1,2431,200000,2432,21,
2521,800000,2523,11,2523,800000,2526,0,2526,800000,2530,0,2531,114,2531,800000,2534,0,2534,507692,2430,1,2536,200000,2537,21,
2622,800000,2623,40,2624,800000,2626,18,2627,800000,2631,0,2632,114,2632,800000,2635,0,2635,624252,2535,1,2636,200000,2637,21,
2722,800000,2724,12,2725,800000,2729,11,2729,800000,2732,0,2732,114,2733,800000,2736,0,2736,537452,2636,1,2737,200000,2738,21,
2822,998400,2824,36,2824,998400,2826,22,2826,998400,2828,0,2829,114,2829,998400,2831,0,2832,682901,2737,1,2832,200000,2833,21,
2923,800000,2931,44,2932,800000,2936,27,2936,800000,2939,27,2940,114,2940,800000,2942,27,2943,790412,2832,1,2944,200000,2946,21,
3023,1209600,3025,50,3025,1209600,3026,0,3027,1209600,3030,55,3031,114,3032,800000,3035,0,3036,978181,2943,1,3037,200000,3038,21,
3124,800000,3126,44,3126,800000,3129,0,3130,800000,3132,0,3134,114,3135,800000,3137,30,3138,663931,3036,1,3138,200000,3139,21,
3224,998400,3226,44,3226,998400,3228,10,3229,998400,3231,22,3231,114,3232,998400,3233,30,3234,850479,3138,1,3234,200000,3235,21,
3325,800000,3326,11,3327,800000,3332,22,3333,800000,3336,12,3337,114,3338,800000,3340,0,3341,592012,3234,1,3341,200000,3342,21,
3425,998400,3427,55,3427,998400,3429,11,3430,998400,3431,11,3432,114,3433,998400,3434,0,3434,749234,3341,1,3435,200000,3436,21,
3527,998400,3529,28,3529,998400,3531,11,3532,998400,3534,20,3535,114,3535,998400,3538,18,3538,749234,3435,1,3539,200000,3541,21,
3627,1209600,3629,25,3629,1209600,3631,11,3631,1209600,3633,50,3634,114,3634,1209600,3635,9,3636,930775,3539,1,3636,200000,3637,21,
3729,800000,3731,25,3732,998400,3733,0,3734,998400,3736,0,3737,114,3737,998400,3739,20,3739,612236,3636,1,3740,200000,3741,21,
3830,800000,3834,33,3835,800000,3838,22,3839,800000,3841,27,3841,114,3842,800000,3844,0,3845,683772,3740,1,3846,200000,3849,21,
3930,998400,3933,55,3934,998400,3936,11,3937,998400,3938,33,3939,114,3939,998400,3941,20,3941,895865,3845,1,3942,200000,3943,21,
4031,800000,4034,55,4036,800000,4038,0,4039,800000,4041,0,4042,114,4043,800000,4046,12,4047,646572,3941,1,4049,200000,4051,51,
4132,998400,4134,70,4134,998400,4136,30,4136,998400,4139,22,4140,114,4141,998400,4143,0,4143,1256637,4048,1,4144,310000,4145,51,
4232,998400,4234,44,4234,998400,4236,30,4237,998400,4239,20,4239,118,4240,998400,4241,37,4242,1886930,4143,1,4242,310000,4243,51,
4333,800000,4337,37,4339,800000,4342,0,4343,800000,4347,11,4349,118,4349,998400,4352,20,4352,1618447,4242,1,4353,310000,4354,51,
4434,800000,4436,33,4438,800000,4441,12,4442,800000,4444,22,4445,118,4446,800000,4450,22,4450,1650303,4352,1,4451,310000,4452,51,
4538,800000,4541,55,4542,800000,4544,20,4545,800000,4548,10,4549,118,4549,998400,4551,0,4551,1640383,4451,1,4552,200000,4553,51,
4642,1209600,4644,90,4644,1209600,4647,11,4649,1209600,4651,18,4651,118,4652,1209600,4653,0,4653,1403102,4552,1,4654,200000,4655,51,
4743,1209600,4758,83,4759,1209600,4760,33,4760,1209600,4762,0,4763,118,4763,1209600,4764,9,4764,1431546,4654,1,4766,310000,4767,51,
4843,1209600,4845,100,4846,1209600,4848,14,4849,1094400,4852,25,4852,118,4853,1094400,4854,20,4854,2151684,4766,1,4855,310000,4856,51,
4943,1209600,4945,80,4946,1209600,4948,11,4949,1209600,4952,33,4953,118,4953,1209600,4954,11,4955,2069572,4855,1,4956,310000,4956,51,
5044,1209600,5045,90,5046,1209600,5047,50,5048,1209600,5050,77,5050,118,5051,1209600,5052,22,5052,2562601,4955,1,5053,310000,5054,51,
5144,1209600,5146,90,5147,1209600,5148,50,5149,1209600,5151,80,5151,118,5152,1209600,5154,55,5154,2733265,5053,1,5154,310000,5155,51,
5245,1209600,5247,22,5247,1209600,5249,10,5250,1209600,5252,10,5253,118,5253,1209600,5255,90,5255,2055350,5154,1,5255,310000,5256,51,
5346,1209600,5348,100,5349,1209600,5350,30,5351,1209600,5352,10,5353,118,5353,1209600,5354,22,5355,2197570,5255,1,5355,310000,5356,51,
5446,1209600,5448,100,5449,1209600,5451,11,5451,1209600,5452,12,5453,118,5453,1209600,5455,20,5455,2107497,5355,1,5456,310000,5457,51,
5548,998400,5551,81,5552,998400,5553,22,5554,998400,5555,11,5555,118,5556,998400,5557,10,5557,1862492,5455,1,5558,310000,5558,23,
5649,998400,5651,62,5651,998400,5653,25,5653,998400,5654,11,5655,118,5655,998400,5657,11,5657,1158917,5557,1,5658,310000,5658,23,
5750,1209600,5751,100,5752,1209600,5753,20,5754,1209600,5755,20,5756,118,5756,1209600,5758,0,5758,1442069,5657,1,5759,310000,5760,23,
5850,998400,5853,80,5853,998400,5855,33,5856,998400,5858,20,5859,118,5860,998400,5861,30,5862,1347442,5759,1,5862,310000,5863,23,
5953,800000,5957,30,5960,800000,5968,22,5970,998400,5973,30,5973,118,5974,998400,5976,10,5976,1046984,5862,1,5977,310000,5978,23,
6053,998400,6055,54,6055,998400,6058,30,6058,998400,6060,11,6061,118,6061,998400,6063,11,6063,1148443,5976,1,6064,200000,6064,23,
6153,800000,6155,11,6156,800000,6158,10,6158,800000,6160,0,6161,118,6162,800000,6164,0,6164,564098,6063,1,6165,200000,6166,23,
