App,Package,Start Time,Duration,Filename
"Warble",edu.utexas.mpc.warble3,"Sep 26, 2018 @ 02:24:05 PM","1 min 42 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"Battery Status",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"Application State",Description,
0,998400,8,7,9,998400,11,4,11,998400,14,2,14,119,15,998400,17,1,22,1131661,22,1,22,310000,24,20,18,0,,
100,1209600,102,87,102,1209600,103,44,104,1209600,105,11,105,119,105,1209600,108,20,108,1478654,108,1,109,310000,109,20,108,0,,
202,1209600,204,45,204,1209600,206,46,207,1209600,208,30,209,119,210,1209600,211,10,212,1331694,152,1,212,310000,213,0,211,0,,
302,998400,305,66,305,998400,307,37,309,998400,310,33,311,119,311,998400,313,27,313,814586,212,1,314,310000,315,0,313,0,,
402,1209600,404,62,405,1209600,406,55,407,1209600,408,50,408,119,409,1209600,410,10,410,1084617,314,1,411,310000,412,0,410,0,,
503,800000,505,40,506,800000,508,10,509,800000,512,36,512,119,513,800000,516,0,517,458800,411,1,518,310000,519,0,516,0,,
603,998400,605,36,606,998400,608,10,609,998400,610,36,611,119,611,998400,613,10,614,566710,517,1,614,310000,617,28,613,0,,
704,800000,706,41,707,800000,709,11,709,800000,711,22,712,119,712,800000,714,10,715,1105046,614,1,715,310000,716,28,715,0,,
804,800000,807,30,807,800000,809,27,810,800000,812,45,813,119,813,800000,816,0,817,1149686,715,1,817,310000,818,0,816,0,,
904,998400,906,72,907,998400,908,22,908,998400,910,36,910,119,910,998400,912,0,912,699376,817,1,912,310000,913,0,912,0,,
1005,800000,1007,20,1008,800000,1010,0,1010,800000,1012,20,1013,119,1013,800000,1016,0,1016,344720,912,1,1017,310000,1018,0,1016,0,,
1105,800000,1107,11,1108,800000,1110,10,1111,800000,1112,30,1113,119,1113,800000,1116,0,1117,371999,1017,1,1117,310000,1118,0,1116,0,,
1206,800000,1208,20,1209,800000,1211,9,1211,800000,1213,27,1213,119,1214,800000,1216,0,1217,384400,1117,1,1218,310000,1219,0,1217,0,,
1306,800000,1308,36,1309,800000,1311,11,1311,800000,1313,18,1313,119,1314,800000,1316,0,1316,406720,1217,1,1317,310000,1319,0,1316,0,,
1407,800000,1409,20,1410,800000,1411,10,1412,800000,1413,20,1414,119,1414,800000,1417,0,1417,369520,1316,1,1419,310000,1420,0,1417,0,,
1507,800000,1509,11,1510,800000,1512,10,1512,800000,1514,20,1514,119,1515,800000,1518,0,1519,347200,1418,1,1520,310000,1522,0,1519,0,,
1607,998400,1610,12,1611,800000,1627,18,1629,800000,1632,33,1632,119,1633,998400,1635,0,1635,413894,1520,1,1637,310000,1638,0,1635,0,,
1707,1209600,1709,70,1709,1209600,1710,50,1710,1209600,1711,25,1712,119,1712,1209600,1713,0,1713,932916,1636,1,1713,310000,1714,0,1713,0,,
1808,1209600,1809,22,1810,1209600,1811,11,1811,1209600,1812,11,1813,119,1813,1209600,1814,0,1814,454109,1713,1,1815,310000,1815,0,1814,0,,
1908,998400,1910,0,1911,800000,1913,9,1913,800000,1915,18,1916,119,1917,800000,1920,0,1921,312480,1814,1,1921,310000,1923,0,1921,0,,
2009,800000,2011,12,2011,998400,2013,11,2013,998400,2015,20,2015,119,2016,998400,2018,0,2018,383507,1921,1,2019,310000,2020,0,2018,0,,
2110,800000,2111,11,2112,800000,2113,10,2114,800000,2117,0,2118,119,2119,800000,2121,0,2122,297600,2018,1,2123,310000,2125,0,2122,0,,
2210,800000,2212,11,2212,800000,2214,10,2214,800000,2217,11,2218,119,2219,800000,2222,0,2222,324880,2122,1,2223,310000,2224,0,2222,0,,
2310,800000,2312,36,2313,800000,2315,0,2317,800000,2320,18,2321,119,2322,800000,2326,0,2327,379440,2223,1,2328,310000,2330,0,2326,0,,
2411,800000,2413,30,2414,800000,2416,10,2417,800000,2420,11,2422,119,2423,800000,2426,0,2427,371999,2327,1,2428,310000,2430,0,2426,0,,
2511,800000,2513,22,2514,800000,2517,10,2518,800000,2521,10,2522,119,2522,800000,2525,0,2525,349680,2427,1,2526,310000,2528,0,2525,0,,
2612,800000,2614,11,2616,800000,2619,10,2620,800000,2624,11,2624,119,2625,800000,2627,0,2628,324880,2526,1,2628,310000,2629,0,2628,0,,
2712,800000,2715,12,2716,800000,2719,20,2720,800000,2723,10,2724,119,2725,800000,2727,10,2728,374480,2628,1,2729,310000,2730,0,2727,0,,
2813,800000,2816,10,2817,800000,2822,30,2822,800000,2825,11,2826,119,2827,800000,2829,0,2829,371999,2728,1,2830,310000,2831,0,2829,0,,
2913,800000,2916,11,2917,800000,2920,20,2921,800000,2923,0,2924,119,2924,800000,2926,9,2927,344719,2829,1,2927,310000,2928,0,2927,0,,
3014,800000,3015,41,3016,800000,3019,11,3020,800000,3022,0,3022,119,3022,800000,3024,10,3024,399280,2927,1,3025,310000,3025,0,3024,0,,
3114,800000,3116,20,3116,800000,3118,11,3118,800000,3122,11,3122,119,3123,800000,3124,0,3124,349680,3024,1,3125,310000,3125,0,3124,0,,
3214,800000,3216,20,3217,800000,3218,11,3219,800000,3221,10,3221,119,3222,800000,3224,0,3224,347199,3125,1,3224,310000,3225,0,3224,0,,
3315,800000,3317,10,3317,800000,3319,10,3320,800000,3321,10,3322,119,3322,800000,3324,0,3325,319920,3224,1,3325,310000,3326,0,3324,0,,
3415,998400,3417,11,3417,998400,3419,11,3419,998400,3421,0,3421,119,3422,998400,3423,10,3423,357238,3325,1,3424,310000,3425,0,3423,0,,
3516,800000,3517,18,3518,800000,3520,27,3521,800000,3522,10,3523,119,3523,800000,3525,0,3526,381920,3423,1,3526,310000,3527,0,3526,0,,
3616,800000,3618,20,3619,800000,3629,20,3630,800000,3632,16,3633,119,3636,800000,3640,0,3642,384400,3526,1,3643,310000,3644,0,3641,0,,
3718,1209600,3719,77,3719,1209600,3720,40,3721,1209600,3722,11,3722,119,3722,1209600,3723,0,3723,852325,3642,1,3723,310000,3724,0,3723,0,,
3819,998400,3821,18,3822,800000,3823,0,3824,800000,3826,10,3826,119,3827,800000,3829,0,3829,333161,3723,1,3830,310000,3831,0,3829,0,,
3919,800000,3921,27,3922,800000,3923,10,3924,800000,3925,10,3926,119,3926,800000,3928,0,3929,362080,3830,1,3930,310000,3931,0,3929,0,,
4019,800000,4021,33,4022,800000,4023,10,4024,800000,4026,18,4026,119,4027,800000,4028,0,4029,396800,3929,1,4030,310000,4031,0,4029,0,,
4120,800000,4122,20,4123,800000,4125,0,4125,800000,4127,10,4127,119,4128,800000,4130,0,4130,319920,4029,1,4131,310000,4133,0,4130,0,,
