App,Package,Start Time,Duration,Filename
"Warble",edu.utexas.mpc.warble3,"Sep 26, 2018 @ 02:43:49 PM","17 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"Battery Status",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"Application State",Description,
0,998400,3,33,3,998400,5,19,5,998400,7,13,8,189,8,998400,11,10,11,978728,12,1,12,310000,13,20,11,0,,
109,1209600,110,75,111,1209600,112,36,112,1209600,114,20,114,189,116,1209600,117,9,118,1518784,109,1,118,310000,119,20,117,0,,
210,1209600,211,75,212,1209600,213,50,213,1209600,214,22,214,189,215,1209600,216,50,217,1789001,118,1,217,310000,218,20,216,0,,
310,1209600,312,66,312,1209600,313,40,314,1209600,315,36,315,189,316,1209600,318,0,318,1528265,217,1,319,310000,320,20,318,0,,
411,800000,413,25,414,800000,415,0,417,800000,419,36,420,189,421,800000,423,0,424,1006371,318,1,424,310000,425,20,424,0,,
511,800000,514,0,514,800000,517,33,518,800000,524,27,524,189,525,998400,526,18,527,1066732,424,1,527,200000,528,20,526,0,,
612,800000,614,11,614,800000,617,10,618,800000,620,12,621,189,621,800000,623,0,624,705315,527,1,625,310000,626,20,624,0,,
712,998400,714,72,714,998400,716,22,717,998400,718,11,719,189,719,998400,720,0,721,1221667,624,1,721,310000,722,0,721,0,,
813,998400,814,40,815,998400,816,25,817,998400,818,16,819,189,819,998400,821,9,821,704152,721,1,822,310000,823,27,821,0,,
913,800000,915,10,916,800000,918,20,918,800000,920,0,921,189,921,800000,923,10,924,1117093,822,1,924,310000,925,27,923,0,,
1014,800000,1015,11,1016,800000,1018,20,1019,800000,1020,10,1021,189,1022,800000,1023,0,1024,1119572,924,1,1024,310000,1025,27,1024,0,,
1114,800000,1116,0,1117,800000,1118,11,1119,800000,1120,10,1121,189,1121,800000,1123,0,1123,1069973,1024,1,1124,310000,1124,27,1123,0,,
1215,800000,1217,25,1218,800000,1220,11,1221,800000,1223,10,1223,189,1224,800000,1225,0,1226,1131973,1123,1,1227,310000,1229,27,1226,0,,
1315,800000,1317,0,1318,800000,1320,11,1320,800000,1322,10,1323,189,1323,800000,1325,0,1326,1069973,1227,1,1327,310000,1328,27,1325,0,,
1415,800000,1418,0,1418,800000,1420,11,1421,800000,1423,10,1423,189,1424,998400,1425,0,1426,1069973,1326,1,1426,310000,1427,27,1425,0,,
1516,800000,1518,0,1519,800000,1520,22,1521,800000,1523,10,1524,189,1524,998400,1525,0,1526,1097253,1426,1,1527,310000,1527,27,1526,0,,
1616,998400,1618,0,1618,998400,1620,11,1642,998400,1644,8,1644,189,1645,998400,1646,7,1647,1108664,1526,1,1647,310000,1648,27,1647,0,,
1716,1152000,1718,66,1718,1152000,1719,50,1720,1152000,1721,12,1721,189,1722,1209600,1723,0,1724,1578815,1647,1,1724,310000,1725,27,1723,0,,
1818,800000,1820,11,1821,800000,1823,10,1823,800000,1825,10,1826,189,1826,800000,1828,0,1828,1094773,1724,1,1829,310000,1830,27,1828,0,,
1919,800000,1921,0,1921,800000,1923,20,1924,800000,1925,0,1926,189,1926,800000,1928,9,1929,1089813,1829,1,1929,310000,1930,27,1928,0,,
2019,800000,2021,0,2022,800000,2024,11,2024,800000,2026,0,2027,189,2027,800000,2029,10,2029,1069973,1929,1,2030,310000,2031,27,2029,0,,
2119,800000,2121,10,2122,800000,2123,11,2124,800000,2126,0,2126,189,2127,800000,2129,10,2129,1094773,2029,1,2130,310000,2131,27,2129,0,,
2220,800000,2224,20,2224,800000,2226,10,2227,800000,2228,0,2229,189,2229,800000,2230,9,2231,1114613,2129,1,2231,310000,2232,27,2231,0,,
2320,800000,2324,30,2325,800000,2327,11,2327,800000,2329,11,2330,189,2330,800000,2333,9,2334,1169172,2231,1,2335,310000,2335,27,2333,0,,
2421,800000,2424,20,2425,800000,2427,10,2428,800000,2429,10,2430,189,2430,800000,2433,0,2433,1117093,2334,1,2434,310000,2435,27,2433,0,,
2522,800000,2524,22,2525,800000,2527,0,2528,800000,2529,0,2530,189,2531,800000,2533,10,2533,1097253,2434,1,2534,310000,2535,27,2533,0,,
2622,800000,2624,36,2625,800000,2627,0,2628,800000,2630,0,2631,189,2631,800000,2633,0,2634,1107173,2534,1,2635,310000,2636,27,2634,0,,
2722,800000,2724,22,2725,800000,2726,0,2727,800000,2728,0,2728,189,2730,800000,2732,0,2733,1072453,2635,1,2734,310000,2735,27,2733,0,,
2823,800000,2825,22,2826,800000,2828,0,2828,800000,2831,0,2831,189,2832,800000,2834,9,2835,1094773,2733,1,2836,310000,2837,27,2835,0,,
2923,800000,2925,11,2925,800000,2927,10,2927,800000,2929,9,2929,189,2930,800000,2931,0,2932,1092293,2835,1,2933,310000,2934,27,2931,0,,
3023,998400,3025,25,3025,998400,3027,0,3027,998400,3028,11,3028,189,3029,998400,3030,10,3030,1178488,2932,1,3031,310000,3031,27,3030,0,,
3124,800000,3126,11,3126,800000,3128,9,3128,800000,3129,0,3130,189,3130,800000,3132,0,3133,1067493,3030,1,3134,310000,3135,11,3132,0,,
3224,800000,3226,12,3227,800000,3229,0,3229,800000,3231,10,3232,189,3233,800000,3235,0,3236,700335,3133,1,3236,200000,3237,11,3235,0,,
3325,800000,3327,11,3328,800000,3329,0,3330,800000,3332,9,3333,189,3334,800000,3335,0,3336,567986,3236,1,3337,200000,3338,11,3336,0,,
3425,800000,3427,11,3428,800000,3430,0,3430,800000,3433,10,3433,189,3434,800000,3436,0,3436,570466,3336,1,3437,200000,3438,11,3436,0,,
3525,998400,3527,22,3528,998400,3529,0,3530,998400,3531,9,3532,189,3533,998400,3535,0,3536,626613,3437,1,3536,200000,3537,11,3535,0,,
3626,998400,3627,30,3628,998400,3630,0,3630,998400,3632,0,3633,189,3634,998400,3635,10,3636,658034,3536,1,3637,200000,3638,11,3636,0,,
3726,1209600,3727,20,3728,1209600,3729,44,3729,1209600,3730,0,3731,189,3731,1209600,3733,0,3734,821788,3636,1,3735,200000,3736,11,3734,0,,
3826,800000,3828,20,3829,800000,3831,0,3832,800000,3835,0,3836,189,3837,800000,3840,0,3840,567986,3734,1,3841,200000,3843,11,3840,0,,
3927,800000,3929,30,3930,800000,3932,0,3933,800000,3936,0,3937,189,3937,800000,3940,0,3941,592785,3841,1,3943,200000,3944,11,3941,0,,
4027,998400,4029,36,4029,998400,4031,10,4031,998400,4034,0,4034,189,4035,998400,4037,0,4038,678981,3942,1,4039,200000,4040,11,4037,0,,
4128,998400,4129,40,4129,998400,4131,20,4131,998400,4134,22,4134,189,4135,998400,4137,20,4137,874488,4038,1,4138,200000,4139,21,4137,0,,
