Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU1 Load [%],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU2 Load [%],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU3 Load [%],Time  [ms],Screen Brightness,Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU4 Load [%],Time  [ms],Battery Power* [uW],Time  [ms],Battery Status,Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%]
0,998400,2,31,3,998400,5,16,6,998400,8,8,9,129,9,998400,11,8,11,1114046,11,1,12,200000,12,60
100,1152000,102,80,103,1152000,104,22,105,1152000,106,44,107,129,107,1152000,109,50,109,1825659,48,1,110,200000,111,60
201,1209600,203,80,203,1209600,205,40,205,1209600,207,14,207,129,209,1209600,211,36,211,1772659,110,1,212,310000,213,60
301,1209600,302,100,303,1209600,304,20,304,1209600,306,20,306,129,307,1209600,308,12,308,2382174,211,1,309,310000,310,60
402,1209600,403,100,403,1209600,404,11,405,1209600,406,30,406,129,407,1209600,408,18,408,2415359,309,1,409,310000,410,60
502,1209600,503,100,504,1209600,505,10,506,1209600,507,10,507,129,508,1209600,509,0,509,2230473,409,1,510,310000,511,60
602,1209600,603,100,604,1209600,605,20,606,1209600,607,11,607,129,608,1209600,609,10,609,2330027,510,1,610,310000,611,0
703,1209600,704,100,705,1209600,706,41,706,1209600,707,22,708,129,708,1209600,710,10,710,1086286,610,1,710,310000,711,0
803,1209600,804,100,805,1209600,806,11,807,1209600,808,10,808,129,809,1209600,810,10,810,887179,710,1,811,310000,812,0
903,1209600,905,100,905,1209600,906,11,907,1209600,908,0,909,129,909,1209600,910,10,910,839772,811,1,911,310000,912,0
1004,1209600,1005,100,1006,1209600,1007,10,1007,1209600,1008,0,1009,129,1009,1209600,1011,18,1011,872957,911,1,1012,310000,1012,0
1104,1209600,1105,100,1106,1209600,1107,22,1108,1209600,1109,10,1109,129,1110,1209600,1111,10,1111,939326,1011,1,1111,310000,1112,0
1205,1152000,1206,100,1206,1152000,1208,45,1208,1152000,1209,0,1210,129,1211,1152000,1212,0,1213,901572,1111,1,1213,310000,1214,0
1256,1209600,1257,50,1258,1209600,1259,0,1259,1209600,1261,20,1261,129,1262,1209600,1263,0,1263,597998,1213,1,1263,310000,1264,0
1356,800000,1358,11,1358,800000,1360,11,1361,800000,1363,10,1363,129,1364,800000,1365,0,1366,345512,1263,1,1366,310000,1367,0
1457,800000,1459,0,1459,800000,1461,18,1462,800000,1464,10,1464,129,1465,800000,1466,0,1467,335592,1366,1,1467,310000,1468,0
1557,800000,1559,11,1560,800000,1562,27,1562,800000,1564,11,1565,129,1565,800000,1567,0,1567,387672,1467,1,1568,310000,1569,0
1657,800000,1659,10,1660,800000,1662,11,1663,800000,1671,10,1672,129,1673,800000,1675,0,1675,343032,1567,1,1676,310000,1676,0
1760,1209600,1762,70,1762,1209600,1763,88,1763,1209600,1765,45,1765,129,1766,1209600,1767,11,1767,1280654,1675,1,1768,310000,1769,0
1860,998400,1862,44,1862,998400,1864,40,1866,998400,1868,62,1869,129,1869,998400,1871,20,1871,845692,1768,1,1872,310000,1873,33
