Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU1 Load [%],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU2 Load [%],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU3 Load [%],Time  [ms],Screen Brightness,Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU4 Load [%],Time  [ms],Battery Power* [uW],Time  [ms],Battery Status,Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],Application State,Description
0,998400,2,10,2,998400,7,5,8,1152000,9,5,9,130,10,1152000,12,2,13,1048980,13,1,14,310000,15,8,13,0,
100,1152000,101,60,102,1152000,103,33,103,1152000,105,50,105,130,106,1209600,107,0,108,1080930,87,1,108,310000,109,8,108,0,
201,1209600,202,77,203,1209600,204,55,204,1209600,206,22,208,130,209,1209600,211,0,211,1184337,108,1,211,310000,212,8,211,0,
301,1094400,303,60,303,1094400,304,40,305,1094400,309,22,309,130,310,1094400,312,10,312,987161,211,1,313,310000,314,16,312,0,
402,998400,403,58,404,998400,406,20,407,800000,410,0,411,130,411,800000,413,0,414,912647,312,1,415,310000,417,16,414,0,
502,800000,504,50,505,800000,507,20,509,800000,510,11,511,130,512,800000,513,11,514,868494,415,1,515,310000,516,16,514,0,
603,800000,604,38,605,800000,608,10,609,800000,612,0,613,130,613,800000,615,0,616,759373,514,1,617,310000,617,16,616,0,
706,998400,708,72,709,998400,710,22,711,998400,712,36,713,126,713,998400,715,0,715,1085937,616,1,715,310000,716,0,715,0,
807,800000,809,11,809,800000,811,0,811,800000,813,27,813,122,814,800000,816,0,816,345950,715,1,817,310000,818,0,816,0,
907,800000,909,22,909,800000,911,0,912,800000,914,10,914,118,915,800000,916,10,917,347617,817,1,918,310000,919,0,917,0,
1008,998400,1010,0,1010,998400,1012,11,1012,998400,1014,10,1015,116,1016,998400,1018,0,1018,312646,917,1,1019,310000,1020,0,1018,0,
1108,1152000,1110,77,1111,1152000,1112,20,1113,1152000,1115,33,1116,116,1116,1152000,1118,0,1118,809018,1019,1,1119,310000,1120,0,1071,1,startFetch()
