Time  [ms].9,,Battery Power* [uW],Energy,,
6837,,Start load Database,#VALUE!,,
6859,22,1530995,9.356080556,,
6875,16,End Load Database,#VALUE!,,
6878,3,Start Send Command,#VALUE!,,
6964,86,1482317,35.41090611,,
7065,101,1497197,42.00469361,,
7165,100,1082918,30.08105556,,107.4966553
7262,97,911799,24.5679175,,
7361,99,889479,24.4606725,,
7461,100,857239,23.81219444,,
7559,98,882039,24.01106167,,
7662,103,859719,24.59751583,,
7763,101,859719,24.11989417,,
7863,100,948999,26.36108333,,
7962,99,1040176,28.60484,,
7985,23,Start load Database,#VALUE!,,
8017,32,End Load Database,#VALUE!,,
8020,3,Start Send Command,#VALUE!,,
8062,42,1591231,18.56436167,,
8171,109,1082772,32.78393,,
8269,98,1060599,28.87186167,,
8368,99,1121248,30.83432,,111.0544733
8466,98,909319,24.75368389,,
8566,100,721111,20.03086111,,
8668,102,665326,18.85090333,,
8771,103,660366,18.893805,,
8867,96,922103,24.58941333,,
8976,109,1059079,32.06655861,,
9071,95,541224,14.2823,,
9174,103,491624,14.06590889,,
9267,93,763502,19.72380167,,
9370,103,439544,12.57584222,,
9470,100,521960,14.49888889,,
9573,103,585067,16.73941694,,
9672,99,442024,12.15566,,
9775,103,859719,24.59751583,,
9874,99,886999,24.3924725,,
9975,101,859719,24.11989417,,
10077,102,977335,27.69115833,,
10119,42,Start load Database,#VALUE!,,
10150,31,End Load Database,#VALUE!,,
10159,9,Start Send Command,#VALUE!,,
10175,16,1315982,5.848808889,,
10283,108,1115159,33.45477,,
10380,97,1060599,28.57725083,,
10481,101,784366,22.00582389,,
10576,95,733415,19.35400694,,
10677,101,685166,19.22271278,,
10778,101,687645,19.2922625,,
10877,99,1169351,32.1571525,,
10976,99,1493742,41.077905,,
11079,103,1180303,33.76978028,,
11177,98,994687,27.07759056,,
11281,104,1120370,32.36624444,,
11331,50,Start load Database,#VALUE!,,
11371,40,End Load Database,#VALUE!,,
11375,4,Start Send Command,#VALUE!,,
11380,5,1782923,2.476281944,,
11488,108,1155503,34.66509,,
11581,93,1378719,35.6169075,,
11690,109,1115823,33.78464083,,106.5429203
11784,94,814745,21.27389722,,
11883,99,1087923,29.9178825,,
11988,105,728329,21.24292917,,
12085,97,710585,19.14631806,,
12190,105,721708,21.04981667,,
12293,103,788498,22.55980389,,
12392,99,778578,21.410895,,
12492,100,781058,21.69605556,,
12585,93,926242,23.92791833,,
12689,104,849435,24.53923333,,
12760,71,Start load Database,#VALUE!,,
12794,34,1181100,11.15483333,,
12799,5,End Load Database,#VALUE!,,
12807,8,Start Send Command,#VALUE!,,
12887,80,1422357,31.60793333,,
12994,107,954657,28.3745275,,
13092,98,862898,23.49000111,,
13190,98,890178,24.23262333,,107.7050853
13290,100,904541,25.12613889,,
13390,100,915037,25.41769444,,
13490,100,880125,24.44791667,,
13591,101,1128000,31.64666667,,
13692,101,1459772,40.95471444,,
13790,98,1559325,42.44829167,,
13898,108,936781,28.10343,,
13998,100,1782904,49.52511111,,
14044,46,2011974,25.70855667,,
14140,96,1945641,51.88376,,
14249,109,1810185,54.80837917,,
14361,112,1535725,47.77811111,,
14446,85,1569503,37.05770972,,
14547,101,1022911,28.69833639,,
14650,103,1206373,34.51567194,,
14751,101,1159253,32.52348694,,
14851,100,1159253,32.20147222,,
14952,101,1276242,35.80567833,,
15053,101,1262277,35.4138825,,
15153,100,1223874,33.9965,,
15256,103,1174133,33.59324972,,
15357,101,1129611,31.69186417,,
15456,99,1307663,35.9607325,,
15557,101,1506181,42.25674472,,
15660,103,1061072,30.35844889,,
15763,103,1063411,30.42537028,,
15860,97,1040124,28.02556333,,
15962,102,1113440,31.54746667,,
16059,97,1270904,34.24380222,,
16158,99,1713151,47.1116525,,
16260,102,1089238,30.86174333,,
16364,104,949331,27.42511778,,
16470,106,1158825,34.12095833,,
16564,94,1599375,41.76145833,,
16663,99,1651522,45.416855,,
16774,111,1008851,31.10623917,,
16869,95,1570788,41.45135,,
16966,97,1054089,28.4018425,,
17067,101,1210122,33.950645,,
17167,100,1515901,42.10836111,,
17267,100,1393709,38.71413889,,
17367,100,1182842,32.85672222,,
17470,103,1291962,36.96446833,,
17571,101,1294442,36.31628944,,
17671,100,1244842,34.57894444,,
17776,105,1406448,41.0214,,
