Time  [ms].9,,Battery Power* [uW],,,
84874,,startFetch(),,,
84963,89,1155507,102840123,,
84999,36,endFetch(),#VALUE!,,
85006,7,Start SendCommand(),#VALUE!,,
85069,63,937556,59066028,,
85167,98,842038,82519724,,
85264,97,1082528,105005216,,
85367,103,845033,87038399,,
85470,103,764380,78731140,,
85567,97,625087,60633439,,
85670,103,541180,55741540,,
85767,97,528779,51291563,,
85872,105,602354,63247170,,
85971,99,589926,58402674,,
86071,100,553537,55353700,,
86170,99,508482,50339718,,
86273,103,615631,63409993,,
86372,99,573471,56773629,,
86476,104,628030,65315120,,
86577,101,618110,62429110,,
86676,99,632991,62666109,,
86778,102,602397,61444494,,
86876,98,781386,76575828,,348.8846094
86892,16,startFetch(),#VALUE!,,
86974,82,1400059,114804838,,
86991,17,endFetch(),#VALUE!,,
86993,2,Start SendCommand(),#VALUE!,,
87074,81,1250784,101313504,,
87174,100,998726,99872600,,
87275,101,1246608,125907408,,
87381,106,1085556,115068936,,
87479,98,805130,78902740,,
87580,101,748090,75557090,,
87677,97,790634,76691498,,
87783,106,735690,77983140,,
87875,92,1554950,143055400,,
87981,106,1178195,124888670,,
88084,103,1203763,123987589,,
88185,101,1173235,118496735,,
88285,100,1231692,123169200,,
88388,103,1219680,125627040,,
88486,98,1169430,114604140,,
88586,100,1189344,118934400,,
88682,96,1317456,126475776,,
88784,102,1836098,187281996,,
88885,101,1360635,137424135,,
88997,112,1623907,181877584,,
89082,85,1407819,119664615,,
89186,104,865134,89973936,,
89287,101,907502,91657702,,
89387,100,924862,92486200,,
89487,100,961645,96164500,,
89588,101,936846,94621446,,
89688,100,934366,93436600,,
89787,99,971684,96196716,,
89890,103,951725,98027675,,
89991,101,954206,96374806,,
90093,102,700250,71425500,,
90193,100,737642,73764200,,
90293,100,500269,50026900,,
90395,102,573657,58513014,,
90493,98,570093,55869114,,
90595,102,526080,53660160,,
90700,105,681811,71590155,,1050.159117
90722,22,startFetch(),#VALUE!,,
90794,72,1678967,120885624,,
90807,13,endFetch(),#VALUE!,,
90809,2,Start SendCommand(),#VALUE!,,
90897,88,961910,84648080,,
90999,102,952035,97107570,,
91096,97,1417974,137543478,,
91196,100,849978,84997800,,
91300,104,692586,72028944,,
91400,100,755715,75571500,,
91499,99,732266,72494334,,
91598,99,714905,70775595,,
91697,99,754586,74704014,,
91797,100,703347,70334700,,
91896,99,714906,70775694,,
91998,102,1153846,117692292,,
92099,101,1091269,110218169,,
92199,100,1078870,107887000,,
92300,101,1116070,112723070,,
92400,100,1076390,107639000,,
92502,102,1104866,112696332,,438.84377
92563,61,startFetch(),#VALUE!,,
92602,39,1709380,66665820,,
92651,49,endFetch(),#VALUE!,,
92653,2,Start SendCommand(),#VALUE!,,
92702,49,1517036,74334764,,
92804,102,1308161,133432422,,
92906,102,1210408,123461616,,
93004,98,1060407,103919886,,
93106,102,620549,63295998,,
93206,100,630469,63046900,,
93306,100,875326,87532600,,
93413,107,897645,96048015,,
93507,94,880286,82746884,,
93608,101,917485,92665985,,
93713,105,897645,94252725,,
93809,96,996846,95697216,,
93907,98,872845,85538810,,
94012,105,853006,89565630,,357.0942919
94102,90,startFetch(),#VALUE!,,
94112,10,978859,9788590,,
94214,102,1513013,154327326,,
94241,27,endFetch(),#VALUE!,,
94243,2,Start SendCommand(),#VALUE!,,
94311,68,1211573,82386964,,
94409,98,1113757,109148186,,
94509,100,875572,87557200,,
94613,104,806593,83885672,,
94713,100,686475,68647500,,
94811,98,806491,79036118,,
94913,102,801531,81756162,,
95012,99,895771,88681329,,
95113,101,875930,88468930,,
95213,100,868491,86849100,,
95313,100,875931,87593100,,
95415,102,821755,83819010,,
95525,110,818263,90008930,,
95619,94,992824,93325456,,
95715,96,1181349,113409504,,
95813,98,1530573,149996154,,
95917,104,1559017,162137768,,
96018,101,1123990,113522990,,
96122,104,1151270,119732080,,
96223,101,1027270,103754270,,
96324,101,1138870,115025870,,
96424,100,1138870,113887000,,
96520,96,1554276,149210496,,
96627,107,962848,103024736,,
96723,96,1131430,108617280,,
96821,98,1014870,99457260,,
96923,102,1054550,107564100,,
97030,107,1101670,117878690,,
97128,98,1236860,121212280,,
97229,101,1274060,128680060,,
97326,97,1231900,119494300,,
97427,101,1145100,115655100,,
97527,100,1137660,113766000,,
97626,99,1219545,120734955,,
97728,102,1122780,114523560,,
97829,101,1107900,111897900,,
97927,98,1110380,108817240,,
98030,103,1150060,118456180,,
98129,99,1110380,109927620,,
98230,101,1105420,111647420,,
98331,101,1112860,112398860,,
98432,101,1130219,114152119,,
98531,99,1107900,109682100,,
98631,100,1475923,147592300,,
98730,99,1753209,173567691,,
98832,102,1105420,112752840,,
98933,101,1500723,151573023,,
99032,99,1083100,107226900,,
99136,104,1526099,158714296,,
99239,103,1875219,193147557,,
99336,97,1298860,125989420,,
99435,99,1317298,130412502,,
99535,100,1539684,153968400,,
99638,103,1147580,118200740,,
99738,100,1174859,117485900,,
99836,98,1142620,111976760,,
99940,104,1127740,117284960,,
100037,97,1177650,114232050,,
100140,103,1282386,132085758,,
100237,97,1309131,126985707,,
100341,104,1725386,179440144,,
100440,99,1204503,119245797,,
100547,107,1123053,120166671,,
100642,95,1070973,101742435,,
100744,102,1036253,105697806,,
100843,99,1159117,114752583,,
100945,102,1075933,109745166,,
101045,100,1038733,103873300,,
101145,100,1038733,103873300,,
101246,101,1031293,104160593,,
101345,99,1211485,119937015,,
101454,109,1077593,117457637,,
101546,92,1302256,119807552,,
101652,106,1398062,148194572,,
101749,97,1392221,135045437,,
101846,97,1438205,139505885,,
101950,104,1307901,136021704,,
102047,97,1389328,134764816,,
