,Time  [ms].9,Battery Power* [uW],Time  [ms].13,Description
11,1118,809018,1071,startFetch()
12,1224,1656789,1118,startFetch()
13,1322,878221,1204,endFetch()
14,1423,665258,1224,endFetch()
15,1524,556771,1322,endFetch()
16,1626,730138,1423,endFetch()
17,1725,373251,1524,endFetch()
18,1829,1169781,1626,endFetch()
19,1925,1870516,1724,endFetch()
20,2027,1470024,1821,startFetch()
21,2130,1428130,1829,startFetch()
22,2226,1208110,1922,endFetch()
23,2325,933151,1925,endFetch()
24,2429,670745,2027,endFetch()
25,2530,650905,2130,endFetch()
26,2630,653385,2226,endFetch()
27,2730,655865,2325,endFetch()
28,2831,571649,2429,endFetch()
29,2931,571649,2530,endFetch()
30,3031,659217,2630,endFetch()
31,3136,786115,2730,endFetch()
32,3232,1292297,2831,endFetch()
33,3332,1050232,2931,endFetch()
34,3437,698129,3030,endFetch()
35,3536,772455,3134,endFetch()
36,3637,693169,3232,endFetch()
37,3740,1273784,3332,endFetch()
38,3840,1636517,3437,endFetch()
39,3938,1591877,3536,endFetch()
40,4039,1604276,3637,endFetch()
41,4144,1281499,3740,endFetch()
42,4244,388131,3839,endFetch()
43,4347,355891,3937,endFetch()
44,4443,373251,4039,endFetch()
45,4539,390611,4144,endFetch()
46,4639,375731,4244,endFetch()
47,4754,457593,4347,endFetch()
48,4844,550291,4443,endFetch()
49,4947,316211,4539,endFetch()
50,5047,669094,4639,endFetch()
51,5151,654214,4752,endFetch()
52,5246,854704,4843,endFetch()
53,5389,1015299,4947,endFetch()
54,5450,1179628,5047,endFetch()
55,5551,833641,5151,endFetch()
56,5653,433155,5246,endFetch()
57,5753,420371,5346,endFetch()
58,5854,368291,5450,endFetch()
59,5951,522118,5551,endFetch()
60,6054,355891,5653,endFetch()
61,6161,427811,5753,endFetch()
62,6255,567504,5853,endFetch()
63,6352,560521,5951,endFetch()
64,6456,591942,6054,endFetch()
65,6557,595433,6161,endFetch()
66,6657,1230417,6254,endFetch()
67,6757,1258347,6352,endFetch()
68,6859,844251,6456,endFetch()
69,6957,777918,6557,endFetch()
70,7057,662708,6656,endFetch()
71,7161,652234,6757,endFetch()
72,7268,680769,6859,endFetch()
73,7366,1339703,6956,endFetch()
74,7467,784900,7057,endFetch()
75,7574,618768,7160,endFetch()
76,7669,783688,7268,endFetch()
77,7770,788648,7366,endFetch()
78,7871,1150996,7466,endFetch()
79,7976,1153476,7574,endFetch()
80,8068,1549874,7669,endFetch()
81,8171,1188314,7769,endFetch()
82,8273,1193156,7871,endFetch()
83,8371,1381635,7976,endFetch()
84,8472,1226717,8068,endFetch()
85,8573,1237191,8171,endFetch()
86,8674,1150995,8273,endFetch()
87,8778,1512996,8371,endFetch()
88,8873,2100579,8472,endFetch()
89,8977,2503535,8572,endFetch()
90,9074,2091098,8674,endFetch()
91,9174,2565164,8778,endFetch()
92,9293,2422944,8873,endFetch()
93,9375,2031532,8976,endFetch()
94,9477,1351607,9074,endFetch()
95,9580,1184465,9174,endFetch()
96,9677,1284636,9281,endFetch()
97,9779,1187521,9375,endFetch()
98,9882,1258865,9477,endFetch()
99,9986,1316695,9580,endFetch()
100,10081,1271310,9677,endFetch()
101,10181,820763,9779,endFetch()
102,10293,974376,9882,endFetch()
103,10380,1100572,9986,endFetch()
104,10483,876622,10080,endFetch()
105,10584,780485,10181,endFetch()
106,10684,922008,10289,endFetch()
107,10789,1051183,10380,endFetch()
108,10884,803048,10482,endFetch()
109,10986,572628,10583,endFetch()
110,11096,585272,10684,endFetch()
111,11139,966285,10789,endFetch()
112,11236,727699,10884,endFetch()
113,11337,788234,10986,endFetch()
114,11440,599325,11096,endFetch()
115,11538,677150,11138,endFetch()
116,11641,666676,11236,endFetch()
